140221_SN790_0313_BC3TK9ACXX,quality_mean,85,5,30.8101111853
140221_SN790_0313_BC3TK9ACXX,quality_mean,90,5,30.8322516017
140221_SN790_0313_BC3TK9ACXX,quality_mean,6,1,35.8650427046
140221_SN790_0313_BC3TK9ACXX,quality_mean,65,5,36.2516456053
140221_SN790_0313_BC3TK9ACXX,quality_mean,4,1,35.0794601428
140221_SN790_0313_BC3TK9ACXX,quality_mean,85,5,33.2116204433
140221_SN790_0313_BC3TK9ACXX,quality_mean,7,1,35.4572593123
140221_SN790_0313_BC3TK9ACXX,quality_mean,75,5,31.6082298153
140221_SN790_0313_BC3TK9ACXX,quality_mean,10,5,37.2794364372
140221_SN790_0313_BC3TK9ACXX,quality_mean,70,5,32.3428308246
140221_SN790_0313_BC3TK9ACXX,quality_mean,4,1,35.6926603569
140221_SN790_0313_BC3TK9ACXX,quality_mean,70,5,35.1033434751
140221_SN790_0313_BC3TK9ACXX,quality_mean,4,1,35.1964285132
140221_SN790_0313_BC3TK9ACXX,quality_mean,100,2,30.7503614605
140221_SN790_0313_BC3TK9ACXX,quality_mean,30,5,37.0504319131
140221_SN790_0313_BC3TK9ACXX,quality_mean,1,1,31.7433234992
140221_SN790_0313_BC3TK9ACXX,quality_mean,85,5,32.4885937367
140221_SN790_0313_BC3TK9ACXX,quality_mean,70,5,32.7278183557
140221_SN790_0313_BC3TK9ACXX,quality_mean,85,5,31.3876068875
140221_SN790_0313_BC3TK9ACXX,quality_mean,2,1,31.8713960526
140221_SN790_0313_BC3TK9ACXX,quality_mean,4,1,35.0157927299
140221_SN790_0313_BC3TK9ACXX,quality_mean,25,5,39.0390660109
140221_SN790_0313_BC3TK9ACXX,quality_mean,60,5,36.7030584576
140221_SN790_0313_BC3TK9ACXX,quality_mean,45,5,37.3246895257
140221_SN790_0313_BC3TK9ACXX,quality_mean,5,1,36.1113126012
140221_SN790_0313_BC3TK9ACXX,quality_mean,80,5,32.6681555246
